Episode,Average Reward
1,-2.2935729026794434
2,-3.9750328063964844
3,-5.202086448669434
4,-6.072179794311523
5,-6.664251327514648
6,-7.079277992248535
7,-7.367063999176025
8,-7.5091118812561035
9,-7.635774612426758
10,-7.67697286605835
11,-7.685052871704102
12,-7.671679496765137
13,-7.6277570724487305
14,-7.583037376403809
15,-7.546542644500732
16,-7.461090087890625
17,-7.383362770080566
18,-7.340497016906738
19,-7.272055625915527
20,-7.215656757354736
21,-7.132726669311523
22,-7.090689659118652
23,-7.039080619812012
24,-6.98972225189209
25,-6.979882717132568
26,-6.949496746063232
27,-6.9238996505737305
28,-6.909468650817871
29,-6.8912553787231445
30,-6.865300178527832
31,-6.8251423835754395
32,-6.799930572509766
33,-6.786373138427734
34,-6.79400110244751
35,-6.791281700134277
36,-6.812309265136719
37,-6.8155364990234375
38,-6.807305812835693
39,-6.797730445861816
40,-6.780612945556641
41,-6.78476619720459
42,-6.795110702514648
43,-6.774153709411621
44,-6.77325439453125
45,-6.778444766998291
46,-6.76008939743042
47,-6.771689414978027
48,-6.776908874511719
49,-6.788021564483643
50,-6.757333755493164
51,-6.751300811767578
52,-6.777169227600098
53,-6.784188270568848
54,-6.781709671020508
55,-6.761720657348633
56,-6.7693071365356445
57,-6.759918212890625
58,-6.7461018562316895
59,-6.743577003479004
60,-6.725898742675781
61,-6.725488662719727
62,-6.744940280914307
63,-6.766939640045166
64,-6.785643577575684
65,-6.759149551391602
66,-6.785951614379883
67,-6.8059492111206055
68,-6.808049201965332
69,-6.7865471839904785
70,-6.792505264282227
71,-6.785737991333008
72,-6.769693374633789
73,-6.7907609939575195
74,-6.793570041656494
75,-6.780152320861816
76,-6.811692237854004
77,-6.802682876586914
78,-6.790140151977539
79,-6.784974098205566
80,-6.766048431396484
81,-6.768636703491211
82,-6.784530162811279
83,-6.76181697845459
84,-6.761536598205566
85,-6.78823184967041
86,-6.788623332977295
87,-6.7689104080200195
88,-6.767160415649414
89,-6.779155254364014
90,-6.735748767852783
91,-6.724375247955322
92,-6.7313642501831055
93,-6.746006488800049
94,-6.732306003570557
95,-6.743627548217773
96,-6.758522987365723
97,-6.7419562339782715
98,-6.728939056396484
99,-6.705935955047607
100,-6.733591556549072
