epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.764,1.44552,2.06807,2.02892,0.44563,0.54901,0.40261,0.16525,6.15624,14.5919,10.774,0.000552969,0.000552969,0.000552969
2,497.176,1.11072,1.15572,1.73511,0.26614,0.50723,0.22303,0.10186,6.22853,6.93658,11.4982,0.00108668,0.00108668,0.00108668
3,782.215,1.06929,1.09735,1.6888,0.27708,0.74305,0.26798,0.06525,6.24991,8.11723,12.6503,0.0015984,0.0015984,0.0015984
4,992.291,0.95977,1.00476,1.59402,0.29417,0.7208,0.41525,0.26883,6.02129,6.65361,9.80247,0.00156798,0.00156798,0.00156798
5,1136.9,0.86955,0.90787,1.50194,0.61795,0.51279,0.61989,0.46988,6.03549,6.33064,9.76889,0.00153497,0.00153497,0.00153497
6,1320.86,0.81333,0.85748,1.46171,0.2264,0.71413,0.27087,0.16432,6.1665,5.96753,9.62912,0.00150197,0.00150197,0.00150197
7,1519.44,0.74884,0.77445,1.3917,0.69059,0.75973,0.79483,0.51466,6.01339,5.75165,10.7205,0.00146896,0.00146896,0.00146896
8,1745.05,0.68339,0.75491,1.32794,0.59817,0.67229,0.70612,0.63879,5.91767,5.77457,9.94361,0.00143595,0.00143595,0.00143595
9,1904.33,0.66012,0.71914,1.3033,0.6399,0.7274,0.76872,0.61037,5.97736,5.50417,9.9281,0.00140295,0.00140295,0.00140295
10,2131.32,0.6392,0.69744,1.28555,0.61355,0.50501,0.65597,0.54051,5.98084,6.89466,10.6619,0.00136994,0.00136994,0.00136994
11,2341,0.60003,0.67354,1.24978,0.24962,0.88098,0.30782,0.27654,5.92568,7.24947,9.26407,0.00133693,0.00133693,0.00133693
12,2556.3,0.57432,0.64253,1.2239,0.91461,0.64334,0.80335,0.73769,5.93007,5.44347,10.2214,0.00130393,0.00130393,0.00130393
13,2692.41,0.54358,0.61695,1.19469,0.88779,0.84205,0.93791,0.86876,5.91857,7.55789,10.2159,0.00127092,0.00127092,0.00127092
14,2888.93,0.52098,0.59521,1.18571,0.82721,0.78811,0.8892,0.73549,5.95189,7.3282,10.731,0.00123791,0.00123791,0.00123791
15,3112.21,0.511,0.58747,1.16972,0.88034,0.73415,0.87965,0.81453,5.91431,7.02427,9.66286,0.00120491,0.00120491,0.00120491
16,3257.73,0.4967,0.58136,1.15988,0.92978,0.81758,0.92923,0.87888,5.905,6.93949,9.47707,0.0011719,0.0011719,0.0011719
17,3442.15,0.47631,0.55595,1.14366,0.73349,0.71969,0.84091,0.77168,5.92877,5.64701,10.2671,0.00113889,0.00113889,0.00113889
18,3614.6,0.46157,0.54707,1.12853,0.93094,0.7386,0.89163,0.8447,5.90092,7.52065,9.87303,0.00110589,0.00110589,0.00110589
19,3800.58,0.4468,0.54001,1.12162,0.9146,0.84983,0.94975,0.8625,5.92531,5.73045,10.7891,0.00107288,0.00107288,0.00107288
20,3954.75,0.43429,0.5249,1.11135,0.86746,0.77896,0.9005,0.85729,5.90975,7.67803,10.6487,0.00103987,0.00103987,0.00103987
21,4119.37,0.42516,0.51688,1.10108,0.75571,0.50056,0.68378,0.64972,5.89741,9.01124,9.68845,0.00100687,0.00100687,0.00100687
22,4310.69,0.41421,0.51046,1.10056,0.95931,0.67408,0.84388,0.79815,5.90764,7.49869,8.45769,0.000973861,0.000973861,0.000973861
23,4523.81,0.40543,0.49179,1.08128,0.88054,0.68409,0.85909,0.79225,5.92596,5.52556,10.2833,0.000940855,0.000940855,0.000940855
24,4652.6,0.39257,0.48503,1.07892,0.87858,0.70634,0.8961,0.86445,5.8971,7.57443,10.7737,0.000907848,0.000907848,0.000907848
25,4855.56,0.37849,0.4709,1.06534,0.96577,0.53281,0.77532,0.722,5.91844,8.89574,10.267,0.000874842,0.000874842,0.000874842
26,5032.42,0.37737,0.47575,1.06612,0.87598,0.6396,0.80758,0.78316,5.89754,5.44347,10.1842,0.000841835,0.000841835,0.000841835
27,5277.37,0.36812,0.45508,1.05781,0.86985,0.89212,0.95582,0.91299,5.92753,4.03955,10.1954,0.000808828,0.000808828,0.000808828
28,5564.04,0.35145,0.44898,1.04981,0.89756,0.88694,0.95773,0.93435,5.88726,5.28868,10.5275,0.000775822,0.000775822,0.000775822
29,5816.04,0.34183,0.45026,1.03961,0.894,0.88877,0.95504,0.90338,5.91132,4.7498,9.79145,0.000742815,0.000742815,0.000742815
30,5961.45,0.33496,0.44209,1.03322,0.88186,0.57175,0.7862,0.76164,5.89674,8.00695,10.2525,0.000709809,0.000709809,0.000709809
31,6187.17,0.34419,0.44574,1.04469,0.918,0.63511,0.87616,0.8483,5.89679,6.47956,10.4379,0.000676802,0.000676802,0.000676802
32,6342.65,0.3309,0.43978,1.03197,0.92124,0.84573,0.9513,0.92378,5.91467,5.05416,10.5223,0.000643795,0.000643795,0.000643795
33,6586.29,0.31543,0.42243,1.02115,0.97087,0.64182,0.83209,0.81023,5.90205,8.48322,10.3551,0.000610789,0.000610789,0.000610789
34,6763.1,0.31673,0.42218,1.01835,0.97936,0.68616,0.87738,0.80898,5.93573,6.37033,10.4745,0.000577782,0.000577782,0.000577782
35,6993.12,0.31396,0.42033,1.01691,0.9214,0.87371,0.95393,0.89829,5.92491,4.74733,10.1843,0.000544776,0.000544776,0.000544776
36,7192.76,0.29511,0.40543,1.00719,0.97429,0.68076,0.8861,0.87269,5.91019,5.38889,10.5595,0.000511769,0.000511769,0.000511769
37,7412,0.29574,0.41121,1.00767,0.91092,0.88877,0.96711,0.92535,5.9174,5.21712,9.83104,0.000478762,0.000478762,0.000478762
38,7567.23,0.28987,0.39371,1.00709,0.9813,0.67186,0.90759,0.87615,5.92416,4.59293,10.4337,0.000445756,0.000445756,0.000445756
